3
service_0,425,15,8
service_1,13657,2,3
service_2,958,5,13
service_3,17,1,1
service_4,13811,5,3
service_5,288,2,6
service_6,11873,78,58
service_7,7,3,57
service_8,285,84,2
service_9,105,76,4
service_10,767,9,13
service_11,45,8,64
service_12,787,5,12
service_13,371,4,34
service_14,339,2,3
service_15,638,5,10
service_16,465,6,40
service_17,364,91,6
service_18,74,3,64
service_19,12677,4,2
service_20,571,4,50
service_21,118,1,3
service_22,138,2,1
service_23,218,128,4
service_24,5,3,2
service_25,22205,5,3
service_26,599,7,55
service_27,225,82,5
service_28,3,1,1
service_29,3570,10,24
service_30,306,2,1
service_31,306,8,1
service_32,19103,51,73
service_33,949,16,8
service_34,115,102,4
service_35,2858,8,23
service_36,513,3,62
service_37,705,14,12
service_38,12504,3,1
service_39,17757,117,30
service_40,501,67,1
service_41,900,104,2
service_42,124,5,1
service_43,897,5,16
service_44,17547,66,38
service_45,18,2,3
service_46,19293,127,57
service_47,18835,6,3
service_48,21680,3,2
service_49,449,122,1
service_50,13681,1,2
service_51,302,5,2
service_52,10117,1,3
service_53,118,1,1
service_54,73,95,3
service_55,7,5,2
service_56,8,4,4
service_57,11545,1,3
service_58,182,7,1
service_59,28,6,1
service_60,462,10,15
service_61,820,78,2
service_62,13116,5,2
service_63,2728,10,16
service_64,8,1,4
service_65,6604,56,71
service_66,18697,51,35
service_67,12724,4,2
service_68,7,4,1
service_69,2552,8,18
service_70,466,5,57
service_71,15844,112,39
service_72,14861,2,1
service_73,5998,90,33
service_74,300,4,5
service_75,7579,57,62
service_76,590,5,13
service_77,640,10,5
service_78,19485,5,1
service_79,829,14,13
service_80,10183,83,43
service_81,245,98,4
service_82,3751,12,19
service_83,952,74,1
service_84,20,5,1
service_85,950,7,12
service_86,136,6,34
service_87,16054,3,1
service_88,27,5,3
service_89,5128,120,49
service_90,537,8,5
service_91,966,6,8
service_92,216,6,43
service_93,518,8,46
service_94,48,6,4
service_95,46,1,51
service_96,3609,12,14
service_97,18,6,4
service_98,5158,64,34
service_99,3234,8,17
service_100,7426,105,38
service_101,158,3,1
service_102,216,96,6
service_103,762,16,12
service_104,499,3,1
service_105,1725,14,12
service_106,2360,14,24
service_107,14371,2,3
service_108,791,4,11
service_109,13269,4,2
service_110,234,4,31
service_111,16528,3,2
service_112,685,9,14
service_113,11548,118,51
service_114,60,3,2
service_115,40,2,57
service_116,747,105,4
service_117,6894,99,66
service_118,14173,1,3
